Orthogroup	athaliana	creinhardtii	esiliculosus	synechocystis	tisochrysis_lutea	Total
OG0000291	5	1	1	1	1	9
OG0000292	6	1	0	1	1	9
OG0000293	1	3	1	2	2	9
OG0000294	7	1	1	0	0	9
OG0000295	2	2	2	1	2	9
OG0000296	4	1	2	0	2	9
OG0000297	5	1	2	0	1	9
OG0000298	4	3	1	1	0	9
OG0000299	2	1	2	1	3	9
OG0000300	1	1	4	0	3	9
OG0000301	5	1	1	0	2	9
OG0000302	2	1	1	3	2	9
OG0000303	3	1	2	2	1	9
OG0000304	3	1	2	1	2	9
OG0000305	3	2	2	2	0	9
OG0000306	1	1	4	1	2	9
OG0000307	5	1	1	1	1	9
OG0000308	6	1	1	0	1	9
OG0000309	4	1	1	1	2	9
OG0000310	4	3	1	0	1	9
OG0000311	1	1	1	0	6	9
OG0000312	2	3	1	1	2	9
OG0000313	3	2	2	1	1	9
OG0000314	4	3	1	0	1	9
OG0000315	6	1	1	0	1	9
OG0000316	2	5	2	0	0	9
OG0000317	3	1	2	0	3	9
OG0000318	5	1	2	0	1	9
OG0000319	3	1	2	1	2	9
OG0000320	4	1	2	1	1	9
OG0000321	1	2	4	1	1	9
OG0000322	2	2	2	0	3	9
OG0000323	3	2	1	1	2	9
OG0000324	2	4	1	1	1	9
OG0000325	0	5	3	0	1	9
OG0000326	0	3	3	0	3	9
OG0000327	0	6	1	1	1	9
OG0000328	0	3	2	3	1	9
OG0000329	0	3	3	1	2	9
OG0000330	0	2	3	2	2	9
OG0000331	0	6	1	0	2	9
OG0000332	0	3	1	2	3	9
OG0000333	0	2	2	2	3	9
OG0000334	0	2	2	1	4	9
OG0000335	0	4	3	1	1	9
OG0000336	0	9	0	0	0	9
OG0000337	0	4	1	0	4	9
OG0000338	0	6	2	0	1	9
OG0000339	0	4	2	1	2	9
OG0000340	0	7	1	0	1	9
OG0000341	0	2	4	1	2	9
OG0000342	0	4	2	1	2	9
OG0000343	0	2	2	1	4	9
OG0000344	0	2	3	2	2	9
OG0000345	0	2	7	0	0	9
OG0000346	0	3	3	1	2	9
OG0000347	0	2	2	1	4	9
OG0000348	0	7	2	0	0	9
OG0000349	0	1	7	0	1	9
OG0000350	0	3	2	0	4	9
OG0000351	0	6	2	0	1	9
OG0000352	0	2	2	1	4	9
OG0000353	0	4	2	0	3	9
OG0000354	0	5	1	0	3	9
OG0000355	0	2	6	0	1	9
OG0000356	0	2	6	0	1	9
OG0000357	0	3	1	3	2	9
OG0000358	0	3	3	1	2	9
OG0000359	0	3	1	0	5	9
OG0000360	0	3	3	1	2	9
OG0000361	0	2	6	0	1	9
OG0000362	0	3	2	2	2	9
OG0000363	0	2	2	0	5	9
OG0000364	0	1	2	0	6	9
OG0000365	0	2	2	1	4	9
OG0000366	0	2	5	0	2	9
OG0000367	0	2	3	0	4	9
OG0000368	0	1	6	0	2	9
OG0000369	0	1	2	0	6	9
OG0000370	0	1	4	0	4	9
OG0000371	0	1	7	1	0	9
OG0000372	0	1	3	1	4	9
OG0000373	0	1	5	1	2	9
OG0000374	0	0	5	0	4	9
OG0000375	0	0	8	0	1	9
OG0000376	0	0	1	0	8	9
OG0000377	2	2	1	1	2	8
OG0000378	2	2	1	1	2	8
OG0000379	5	1	1	1	0	8
OG0000380	1	0	0	0	7	8
OG0000381	5	1	1	0	1	8
OG0000382	3	1	1	1	2	8
OG0000383	1	1	3	1	2	8
OG0000384	1	1	1	2	3	8
OG0000385	6	1	0	1	0	8
OG0000386	3	2	1	1	1	8
OG0000387	4	1	2	1	0	8
OG0000388	4	1	1	1	1	8
OG0000389	4	2	1	1	0	8
OG0000390	5	1	0	0	2	8
OG0000391	4	1	1	1	1	8
OG0000392	4	1	1	1	1	8
OG0000393	4	2	1	0	1	8
OG0000394	5	1	1	0	1	8
OG0000395	3	1	1	1	2	8
OG0000396	3	1	2	0	2	8
OG0000397	4	1	2	0	1	8
OG0000398	2	2	1	1	2	8
OG0000399	4	1	1	1	1	8
OG0000400	2	1	1	2	2	8
OG0000401	2	1	2	2	1	8
OG0000402	6	1	1	0	0	8
OG0000403	1	3	1	1	2	8
OG0000404	3	1	2	1	1	8
OG0000405	3	1	1	1	2	8
OG0000406	5	1	0	2	0	8
OG0000407	3	2	1	0	2	8
OG0000408	3	1	2	1	1	8
OG0000409	3	1	1	1	2	8
OG0000410	2	2	2	0	2	8
OG0000411	3	2	2	0	1	8
OG0000412	4	1	1	2	0	8
OG0000413	3	1	2	1	1	8
OG0000414	3	2	1	1	1	8
OG0000415	7	1	0	0	0	8
OG0000416	4	1	1	1	1	8
OG0000417	5	1	1	0	1	8
OG0000418	3	1	1	1	2	8
OG0000419	1	3	1	1	2	8
OG0000420	3	1	1	1	2	8
OG0000421	1	3	3	0	1	8
OG0000422	3	1	1	1	2	8
OG0000423	2	1	2	1	2	8
OG0000424	1	3	1	1	2	8
OG0000425	1	3	2	0	2	8
OG0000426	1	2	2	1	2	8
OG0000427	0	6	1	0	1	8
OG0000428	0	5	2	0	1	8
OG0000429	0	1	3	2	2	8
OG0000430	0	2	4	0	2	8
OG0000431	0	4	1	0	3	8
OG0000432	0	2	2	0	4	8
OG0000433	0	3	2	0	3	8
OG0000434	0	2	3	1	2	8
OG0000435	0	2	3	0	3	8
OG0000436	0	4	2	0	2	8
OG0000437	0	2	2	0	4	8
OG0000438	0	5	2	0	1	8
OG0000439	0	6	1	0	1	8
OG0000440	0	1	4	0	3	8
OG0000441	0	3	4	0	1	8
OG0000442	0	3	2	1	2	8
OG0000443	0	6	0	0	2	8
OG0000444	0	1	4	2	1	8
OG0000445	0	4	4	0	0	8
OG0000446	0	3	4	0	1	8
OG0000447	0	1	7	0	0	8
OG0000448	0	7	0	0	1	8
OG0000449	0	3	2	2	1	8
OG0000450	0	4	1	0	3	8
OG0000451	0	2	3	1	2	8
OG0000452	0	3	2	2	1	8
OG0000453	0	2	1	0	5	8
OG0000454	0	2	2	1	3	8
OG0000455	0	1	4	1	2	8
OG0000456	0	5	1	0	2	8
OG0000457	0	2	3	2	1	8
OG0000458	0	4	1	1	2	8
OG0000459	0	4	4	0	0	8
OG0000460	0	4	1	0	3	8
OG0000461	0	2	1	1	4	8
OG0000462	0	2	3	1	2	8
OG0000463	0	1	4	1	2	8
OG0000464	0	3	2	0	3	8
OG0000465	0	2	3	2	1	8
OG0000466	0	5	2	0	1	8
OG0000467	0	2	1	4	1	8
OG0000468	0	1	3	1	3	8
OG0000469	0	1	6	0	1	8
OG0000470	0	3	1	0	4	8
OG0000471	0	3	4	0	1	8
OG0000472	0	1	0	6	1	8
OG0000473	0	1	5	0	2	8
OG0000474	0	1	4	0	3	8
OG0000475	0	1	2	1	4	8
OG0000476	0	0	3	0	5	8
OG0000477	0	0	8	0	0	8
OG0000478	0	0	2	2	4	8
OG0000479	0	0	0	8	0	8
OG0000480	1	2	2	0	2	7
OG0000481	1	4	1	0	1	7
OG0000482	5	1	0	1	0	7
OG0000483	2	1	1	1	2	7
OG0000484	3	1	0	1	2	7
OG0000485	4	1	1	0	1	7
OG0000486	2	2	1	0	2	7
OG0000487	4	1	1	0	1	7
OG0000488	4	1	1	0	1	7
OG0000489	3	1	1	0	2	7
OG0000490	2	1	1	1	2	7
OG0000491	3	1	1	0	2	7
OG0000492	2	1	2	1	1	7
OG0000493	2	1	1	1	2	7
OG0000494	3	1	1	1	1	7
OG0000495	3	1	2	0	1	7
OG0000496	1	2	2	0	2	7
OG0000497	3	1	1	1	1	7
OG0000498	4	2	1	0	0	7
OG0000499	1	1	3	0	2	7
OG0000500	3	1	1	1	1	7
OG0000501	1	1	2	1	2	7
OG0000502	1	2	2	1	1	7
OG0000503	2	1	1	1	2	7
OG0000504	2	1	0	1	3	7
OG0000505	3	1	1	1	1	7
OG0000506	1	3	1	1	1	7
OG0000507	2	3	0	1	1	7
OG0000508	4	1	1	1	0	7
OG0000509	3	1	1	1	1	7
OG0000510	3	1	1	1	1	7
OG0000511	2	1	1	1	2	7
OG0000512	3	1	2	0	1	7
OG0000513	1	1	1	2	2	7
OG0000514	4	2	0	1	0	7
OG0000515	1	1	2	0	3	7
OG0000516	3	1	1	0	2	7
OG0000517	3	1	1	0	2	7
OG0000518	2	1	1	1	2	7
OG0000519	3	2	0	0	2	7
OG0000520	3	1	1	1	1	7
OG0000521	4	1	1	0	1	7
OG0000522	3	1	1	0	2	7
OG0000523	3	1	1	1	1	7
OG0000524	3	4	0	0	0	7
OG0000525	3	1	1	1	1	7
OG0000526	2	1	1	1	2	7
OG0000527	1	0	3	2	1	7
OG0000528	3	2	1	1	0	7
OG0000529	1	1	3	0	2	7
OG0000530	1	1	3	1	1	7
OG0000531	2	1	2	1	1	7
OG0000532	2	1	1	1	2	7
OG0000533	1	3	2	1	0	7
OG0000534	4	1	1	0	1	7
OG0000535	2	1	1	1	2	7
OG0000536	1	2	2	0	2	7
OG0000537	3	1	2	0	1	7
OG0000538	2	2	1	0	2	7
OG0000539	2	1	2	0	2	7
OG0000540	2	1	1	0	3	7
OG0000541	2	1	2	1	1	7
OG0000542	2	1	1	1	2	7
OG0000543	3	3	0	0	1	7
OG0000544	0	3	1	1	2	7
OG0000545	0	3	2	0	2	7
OG0000546	0	2	2	0	3	7
OG0000547	0	2	3	1	1	7
OG0000548	0	2	2	1	2	7
OG0000549	0	3	2	0	2	7
OG0000550	0	3	3	0	1	7
OG0000551	0	2	3	0	2	7
OG0000552	0	2	1	1	3	7
OG0000553	0	5	1	0	1	7
OG0000554	0	4	1	0	2	7
OG0000555	0	4	1	0	2	7
OG0000556	0	2	2	0	3	7
OG0000557	0	3	2	0	2	7
OG0000558	0	5	1	0	1	7
OG0000559	0	2	3	1	1	7
OG0000560	0	4	0	1	2	7
OG0000561	0	2	1	1	3	7
OG0000562	0	2	1	0	4	7
OG0000563	0	3	3	0	1	7
OG0000564	0	1	3	1	2	7
OG0000565	0	2	3	1	1	7
OG0000566	0	3	2	0	2	7
OG0000567	0	5	2	0	0	7
OG0000568	0	3	1	1	2	7
OG0000569	0	3	3	0	1	7
OG0000570	0	2	2	0	3	7
OG0000571	0	3	1	1	2	7
OG0000572	0	2	3	1	1	7
OG0000573	0	3	1	0	3	7
OG0000574	0	5	1	0	1	7
OG0000575	0	1	3	2	1	7
OG0000576	0	2	1	1	3	7
OG0000577	0	2	2	0	3	7
OG0000578	0	2	4	0	1	7
OG0000579	0	2	2	1	2	7
OG0000580	0	2	5	0	0	7
OG0000581	0	3	4	0	0	7
OG0000582	0	4	1	0	2	7
OG0000583	0	2	2	1	2	7
OG0000584	0	2	2	1	2	7
OG0000585	0	3	2	0	2	7
OG0000586	0	2	0	0	5	7
OG0000587	0	2	2	0	3	7
OG0000588	0	3	2	2	0	7
OG0000589	0	3	1	0	3	7
OG0000590	0	1	2	1	3	7
OG0000591	0	4	2	0	1	7
OG0000592	0	3	1	1	2	7
OG0000593	0	2	2	0	3	7
OG0000594	0	3	1	1	2	7
OG0000595	0	2	2	1	2	7
OG0000596	0	1	2	1	3	7
OG0000597	0	2	2	0	3	7
OG0000598	0	3	1	0	3	7
OG0000599	0	2	2	0	3	7
OG0000600	0	5	1	0	1	7
OG0000601	0	1	2	2	2	7
OG0000602	0	2	2	0	3	7
OG0000603	0	4	2	0	1	7
OG0000604	0	1	3	0	3	7
OG0000605	0	2	2	0	3	7
OG0000606	0	2	3	1	1	7
OG0000607	0	2	2	1	2	7
OG0000608	0	1	2	1	3	7
OG0000609	0	2	0	4	1	7
OG0000610	0	2	2	2	1	7
OG0000611	0	2	2	0	3	7
OG0000612	0	4	0	0	3	7
OG0000613	0	1	3	0	3	7
OG0000614	0	2	3	0	2	7
OG0000615	0	5	1	0	1	7
OG0000616	0	2	3	0	2	7
OG0000617	0	2	3	1	1	7
OG0000618	0	1	1	0	5	7
OG0000619	0	2	2	2	1	7
OG0000620	0	2	2	1	2	7
OG0000621	0	3	1	0	3	7
OG0000622	0	1	2	0	4	7
OG0000623	0	2	2	1	2	7
OG0000624	0	4	2	0	1	7
OG0000625	0	1	3	0	3	7
OG0000626	0	3	2	0	2	7
OG0000627	0	2	2	1	2	7
OG0000628	0	1	2	0	4	7
OG0000629	0	1	3	0	3	7
OG0000630	0	1	2	2	2	7
OG0000631	0	1	3	0	3	7
OG0000632	0	2	4	0	1	7
OG0000633	0	2	3	0	2	7
OG0000634	0	1	2	1	3	7
OG0000635	0	2	3	0	2	7
OG0000636	0	2	4	0	1	7
OG0000637	0	1	6	0	0	7
OG0000638	0	1	3	0	3	7
OG0000639	0	1	4	0	2	7
OG0000640	0	3	1	1	2	7
OG0000641	0	1	1	2	3	7
OG0000642	0	0	4	0	3	7
OG0000643	0	0	6	0	1	7
OG0000644	0	0	3	0	4	7
OG0000645	0	0	1	0	6	7
OG0000646	0	0	7	0	0	7
OG0000647	0	0	4	0	3	7
OG0000648	0	0	0	0	7	7
OG0000649	2	1	1	0	2	6
OG0000650	2	1	1	0	2	6
OG0000651	1	1	0	1	3	6
OG0000652	3	1	1	0	1	6
OG0000653	1	3	1	1	0	6
OG0000654	1	1	1	1	2	6
OG0000655	3	1	1	0	1	6
OG0000656	2	1	2	0	1	6
OG0000657	3	0	1	1	1	6
OG0000658	3	0	2	1	0	6
OG0000659	1	3	1	0	1	6
OG0000660	2	1	1	1	1	6
OG0000661	3	1	1	0	1	6
